request_id,category,source_field,value,name,type,total_dependencies_for_request
62,granted_exemption_legal_references,granted_exemptions.1.1.1.text,§ 35 HBauO,,,21
63,planning_instruments,development_plan,Bebauungsplan Schnelsen 33,,,15
63,planning_instruments,plan_name,Schnelsen 33,,,15
63,planning_instruments,plan_type,Bebauungsplan,,,15
63,planning_instruments,plan_primary_type,development_plan,,,15
63,planning_instruments,plan_references,,Schnelsen 33,development_plan,15
63,planning_instruments,plan_references,,"Schnelsen, Niendorf, Lokstedt, Eidelstedt and Stellingen",landscape_protection,15
63,regulatory_ordinances,legal_ordinance,BauNutzungsverordnung,,,15
63,regulatory_ordinances,_notes,"Baunutzungsverordnung from January 23, 1990",,,15
63,regulation_texts,regulations,"WR I o, 2 residential units, only single houses, GRZ 0.2, GFZ 0.3",,,15
63,regulation_texts,zone_code,WR I o,,,15
63,landscape_conservation_documents,plan_references,,"Schnelsen, Niendorf, Lokstedt, Eidelstedt and Stellingen",landscape_protection,15
63,landscape_conservation_documents,_notes,"Protection of landscape areas in Schnelsen, Niendorf, Lokstedt, Eidelstedt, and Stellingen",,,15
63,granted_exemption_legal_references,granted_exemptions.legal_refs,§ 4 BaumschutzVO,,,15
63,granted_exemption_legal_references,granted_exemptions.1.legal_ref,§ 4 BaumschutzVO,,,15
63,granted_exemption_legal_references,granted_exemptions.1.text,§ 4,,,15
64,planning_instruments,development_plan,Baustufenplan Rahlstedt with the determinations: W 2 o (not particularly protected) - E / D - buildable area 3/10 - back: 10.0 m outer area,,,16
64,planning_instruments,plan_name,Rahlstedt with the determinations: W 2 o (not particularly protected) - E / D - buildable area 3/10 - back: 10.0 m outer area,,,16
64,planning_instruments,plan_type,Baustufenplan,,,16
64,planning_instruments,plan_primary_type,construction_plan,,,16
64,planning_instruments,plan_references,,Rahlstedt,construction_plan,16
64,planning_instruments,plan_references,,Rahlstedt 65,development_plan,16
64,planning_instruments,plan_references,,92,partial_development_plan,16
64,regulatory_ordinances,legal_ordinance,Baupolizeiverordnung,,,16
64,regulatory_ordinances,_notes,"Baupolizeiverordnung from June 8, 1938 in the current version",,,16
64,preliminary_decision_documents,preliminary_decision_gz,"W / WBZ I / 01711 / 2012 / 01 from May 24, 2013",,,16
64,granted_exemption_legal_references,granted_exemptions.legal_refs,§ 69 HBauO,,,16
64,granted_exemption_legal_references,granted_exemptions.legal_refs,§ 10 Abs. 1 HBauO,,,16
64,granted_exemption_legal_references,granted_exemptions.1.legal_ref,§ 69 HBauO,,,16
64,granted_exemption_legal_references,granted_exemptions.1.text,§ 69 HBauO,,,16
64,granted_exemption_legal_references,granted_exemptions.1.text,§ 10 paragraph 1 HBauO,,,16
64,granted_exemption_legal_references,granted_exemptions.1.1.1.text,§ 10 paragraph 1 HBauO,,,16
65,planning_instruments,development_plan,Bebauungsplan Marienthal 26,,,9
65,planning_instruments,plan_name,Marienthal 26,,,9
65,planning_instruments,plan_type,Bebauungsplan,,,9
65,planning_instruments,plan_primary_type,development_plan,,,9
65,planning_instruments,plan_references,,Marienthal 26,development_plan,9
65,regulatory_ordinances,legal_ordinance,BauNutzungsverordnung,,,9
65,regulatory_ordinances,_notes,"Baunutzungsverordnung from January 23, 1990",,,9
65,regulation_texts,regulations,"WR I o, 2 residential units, (D) 120 sqm max. built-up area, E",,,9
65,regulation_texts,zone_code,WR I o,,,9
66,planning_instruments,development_plan,Bebauungsplan Lemsahl-Mellingstedt 20,,,25
66,planning_instruments,plan_name,Lemsahl-Mellingstedt 20,,,25
66,planning_instruments,plan_type,Bebauungsplan,,,25
66,planning_instruments,plan_primary_type,development_plan,,,25
66,planning_instruments,plan_references,,Lemsahl-Mellingstedt 20,development_plan,25
66,regulatory_ordinances,legal_ordinance,BauNutzungsverordnung,,,25
66,regulatory_ordinances,_notes,"Baunutzungsverordnung from January 23, 1990",,,25
66,regulation_texts,regulations,"WR II o (C), GRZ 0.4, Building limits 12.0 x 15.0 m, (d), § 2 Determinations",,,25
66,regulation_texts,zone_code,WR II o,,,25
66,granted_exemption_legal_references,granted_exemptions.legal_refs,§ 18 Abs. 1 HWG,,,25
66,granted_exemption_legal_references,granted_exemptions.legal_refs,§ 19 Abs. 1 HWG,,,25
66,granted_exemption_legal_references,granted_exemptions.legal_refs,§ 25 HWG,,,25
66,granted_exemption_legal_references,granted_exemptions.legal_refs,§ 61 HWG,,,25
66,granted_exemption_legal_references,granted_exemptions.legal_refs,§ 60 HWG,,,25
66,granted_exemption_legal_references,granted_exemptions.legal_refs,§ 26 HWG,,,25
66,granted_exemption_legal_references,granted_exemptions.1.legal_ref,§ 18 Abs. 1 HWG,,,25
66,granted_exemption_legal_references,granted_exemptions.1.text,§ 18 paragraph 1,,,25
66,granted_exemption_legal_references,granted_exemptions.2.legal_ref,§ 19 Abs. 1 HWG,,,25
66,granted_exemption_legal_references,granted_exemptions.2.text,§ 19 paragraph 1,,,25
66,granted_exemption_legal_references,granted_exemptions.2.text,§ 25,,,25
66,granted_exemption_legal_references,granted_exemptions.4.legal_ref,§ 61 HWG,,,25
66,granted_exemption_legal_references,granted_exemptions.4.text,§ 61 HWG,,,25
66,granted_exemption_legal_references,granted_exemptions.4.text,§ 60 HWG,,,25
66,granted_exemption_legal_references,granted_exemptions.5.legal_ref,§ 26 HWG,,,25
66,granted_exemption_legal_references,granted_exemptions.5.text,§ 26 HWG,,,25
67,planning_instruments,development_plan,Bebauungsplan Wohldorf-Ohlstedt 17,,,11
67,planning_instruments,plan_name,Wohldorf-Ohlstedt 17,,,11
67,planning_instruments,plan_type,Bebauungsplan,,,11
67,planning_instruments,plan_primary_type,development_plan,,,11
67,planning_instruments,plan_references,,Wohldorf-Ohlstedt 17,development_plan,11
67,regulatory_ordinances,legal_ordinance,Baugesetzbuch,,,11
67,regulation_texts,regulations,"WR IIo, GRZ 0.2, 2 residential units, only single houses, text determinations",,,11
67,regulation_texts,zone_code,WR IIo,,,11
67,granted_exemption_legal_references,granted_exemptions.legal_refs,§ 4 BaumschutzVO,,,11
67,granted_exemption_legal_references,granted_exemptions.1.legal_ref,§ 4 BaumschutzVO,,,11
67,granted_exemption_legal_references,granted_exemptions.1.text,§ 4,,,11
68,planning_instruments,development_plan,Baustufenplan Lemsahl-Mellingstedt,,,15
